CountryName,CountryCode,Year,Total Population,Urban population (% of total)
Argentina,ARG,1963,21621845,75.309
Armenia,ARM,1963,2070427,53.889
Aruba,ABW,1963,56697,50.73
Australia,AUS,1963,10950000,82.727
Austria,AUT,1963,7175811,64.913
Azerbaijan,AZE,1963,4307315,51.764
"Bahamas, The",BHS,1963,127331,61.926
Bahrain,BHR,1963,178048,82.372
Bangladesh,BGD,1963,52532595,5.727
Barbados,BRB,1963,233587,36.995
Belarus,BLR,1963,8437232,35.822
Belgium,BEL,1963,9289770,92.835
Belize,BLZ,1963,100166,53.101
Benin,BEN,1963,2543335,11.118
Bermuda,BMU,1963,47700,100
Bhutan,BTN,1963,240364,4.217
Bolivia,BOL,1963,3913397,37.656
Bosnia and Herzegovina,BIH,1963,3406466,21.209
Botswana,BWA,1963,564316,3.171
Brazil,BRA,1963,79368453,49.078
Brunei Darussalam,BRN,1963,93650,48.92
Bulgaria,BGR,1963,8078145,42.23
Burkina Faso,BFA,1963,5027818,4.993
Burundi,BDI,1963,2950903,2.193
Cabo Verde,CPV,1963,216913,17.503
Cambodia,KHM,1963,6181137,10.497
Cameroon,CMR,1963,5719135,15.647
Canada,CAN,1963,18964000,71.307
Cayman Islands,CYM,1963,8228,100
Central African Republic,CAF,1963,1585765,22.1
Chad,TCD,1963,3184775,7.527
Channel Islands,CHI,1963,112595,37.909
Chile,CHL,1963,8237555,70.2
China,CHN,1963,682335000,17.757
Colombia,COL,1963,18033548,48.932
Comoros,COM,1963,198205,15.074
"Congo, Dem. Rep.",ZAR,1963,16461914,22.976
"Congo, Rep.",COG,1963,1096502,33.78
Costa Rica,CRI,1963,1484512,34.606
Cote d'Ivoire,CIV,1963,3889859,21.575
Croatia,HRV,1963,4231408,32.979
Cuba,CUB,1963,7618359,58.963
Curacao,CUW,1963,130860,75.875
Cyprus,CYP,1963,577912,37.176
Czech Republic,CZE,1963,9670685,61.044
Denmark,DNK,1963,4684483,75.757
Djibouti,DJI,1963,100622,53.787
Dominica,DMA,1963,62920,38.046
Dominican Republic,DOM,1963,3638628,33.061
Ecuador,ECU,1963,4953735,35.606
"Egypt, Arab Rep.",EGY,1963,29322709,38.977
El Salvador,SLV,1963,3015885,38.712
Equatorial Guinea,GNQ,1963,260990,26.323
Eritrea,ERI,1963,1512671,10.703
Estonia,EST,1963,1258857,59.836
Ethiopia,ETH,1963,23798378,7.104
Faeroe Islands,FRO,1963,35550,23.805
Fiji,FJI,1963,436208,31.403
Finland,FIN,1963,4523309,57.998
France,FRA,1963,48803680,64.702
French Polynesia,PYF,1963,86839,45.389
Gabon,GAB,1963,516270,20.923
"Gambia, The",GMB,1963,389070,12.862
Georgia,GEO,1963,3816100,44.544
Germany,DEU,1963,74714353,71.826
Ghana,GHA,1963,7303432,24.915
Greece,GRC,1963,8479625,58.222
Greenland,GRL,1963,36400,62.983
Grenada,GRD,1963,93354,30.895
Guam,GUM,1963,71289,53.396
Guatemala,GTM,1963,4476923,33.086
Guinea,GIN,1963,3749920,11.919
Guinea-Bissau,GNB,1963,636593,14.045
Guyana,GUY,1963,618887,29.129
Haiti,HTI,1963,4103732,16.762
Honduras,HND,1963,2211144,24.491
"Hong Kong SAR, China",HKG,1963,3420900,85.867
Hungary,HUN,1963,10087947,57.181
Iceland,ISL,1963,185653,81.781
India,IND,1963,477729958,18.405
Indonesia,IDN,1963,95055669,15.299
"Iran, Islamic Rep.",IRN,1963,23680433,35.718
Iraq,IRQ,1963,7888914,47.532
Ireland,IRL,1963,2852650,47.473
Isle of Man,IMY,1963,49089,55.826
Israel,ISR,1963,2379000,79.502
Italy,ITA,1963,51252000,60.853
Jamaica,JAM,1963,1707019,35.985
Japan,JPN,1963,96812000,66.064
Jordan,JOR,1963,999392,53.565
Kazakhstan,KAZ,1963,10913552,45.847
Kenya,KEN,1963,8908425,8.038
Kiribati,KIR,1963,44372,18.233
"Korea, Dem. Rep.",PRK,1963,12065470,43.116
"Korea, Rep.",KOR,1963,27261747,30.407
Kuwait,KWT,1963,381665,77.511
Kyrgyz Republic,KGZ,1963,2413700,35.178
Lao PDR,LAO,1963,2272078,8.17
Latvia,LVA,1963,2210919,55.253
Lebanon,LBN,1963,1984982,47.475
Lesotho,LSO,1963,898342,5.029
Liberia,LBR,1963,1196588,20.664
Libya,LBY,1963,1592111,29.998
Liechtenstein,LIE,1963,17722,19.89
Lithuania,LTU,1963,2898950,42.434
Luxembourg,LUX,1963,324100,70.953
"Macao SAR, China",MAC,1963,188703,95.773
"Macedonia, FYR",MKD,1963,1547445,37.75
Madagascar,MDG,1963,5486593,11.657
Malawi,MWI,1963,3872124,4.694
Malaysia,MYS,1963,8999247,28.558
Maldives,MDV,1963,97556,11.345
Mali,MLI,1963,5441611,11.97
Malta,MLT,1963,322550,89.948
Marshall Islands,MHL,1963,16111,39.776
Mauritania,MRT,1963,936014,8.671
Mauritius,MUS,1963,718861,35.056
Mexico,MEX,1963,41939880,53.265
"Micronesia, Fed. Sts.",FSM,1963,48875,23.042
Moldova,MDA,1963,2721000,25.856
Monaco,MCO,1963,23169,100
Mongolia,MNG,1963,1042383,41.056
Montenegro,MNE,1963,491491,20.993
Morocco,MAR,1963,13488517,30.846
Mozambique,MOZ,1963,7961458,5.345
Myanmar,MMR,1963,22947286,20.259
Namibia,NAM,1963,648668,19.17
Nepal,NPL,1963,10544586,3.653
Netherlands,NLD,1963,11965966,60.387
New Caledonia,NCL,1963,85700,41.684
New Zealand,NZL,1963,2531800,77.73
Nicaragua,NIC,1963,1943591,41.005
Niger,NER,1963,3703159,6.259
Nigeria,NGA,1963,48128460,16.087
Northern Mariana Islands,MNP,1963,10709,55.771
Norway,NOR,1963,3666537,54.302
Oman,OMN,1963,593504,19.794
Pakistan,PAK,1963,48312888,23.002
Palau,PLW,1963,10381,57.696
Panama,PAN,1963,1238824,43.137
Papua New Guinea,PNG,1963,2075630,4.694
Paraguay,PRY,1963,2058916,35.916
Peru,PER,1963,10961539,49.632
Philippines,PHL,1963,29016770,31.077
Poland,POL,1963,30712000,49.326
Portugal,PRT,1963,9030355,36.101
Puerto Rico,PRI,1963,2504530,48.724
Qatar,QAT,1963,61647,86.5
Romania,ROM,1963,18797850,36.284
Russian Federation,RUS,1963,123960000,56.408
Rwanda,RWA,1963,3102968,2.766
Samoa,WSM,1963,119564,19.141
San Marino,SMR,1963,16616,52.206
Sao Tome and Principe,STP,1963,64181,19.194
Saudi Arabia,SAU,1963,4516663,35.011
Senegal,SEN,1963,3450418,24.973
Seychelles,SYC,1963,45176,30.877
Sierra Leone,SLE,1963,2269890,19.06
Singapore,SGP,1963,1795000,100
Slovak Republic,SVK,1963,4282017,35.483
Slovenia,SVN,1963,1616971,30.776
Solomon Islands,SLB,1963,128863,6.616
Somalia,SOM,1963,2937360,18.92
South Africa,ZAF,1963,18936138,47.02
South Sudan,SSD,1963,3131686,8.714
Spain,ESP,1963,31296651,59.306
Sri Lanka,LKA,1963,10582000,16.916
St. Kitts and Nevis,KNA,1963,50533,29.545
St. Lucia,LCA,1963,93397,22.174
St. Vincent and the Grenadines,VCT,1963,84167,27.314
Sudan,SDN,1963,8223613,12.262
Suriname,SUR,1963,314530,47.372
Swaziland,SWZ,1963,373991,5.312
Sweden,SWE,1963,7604328,75.223
Switzerland,CHE,1963,5694247,52.946
Syrian Arab Republic,SYR,1963,5057825,38.694
Tajikistan,TJK,1963,2312193,34.351
Tanzania,TZA,1963,11005882,5.704
Thailand,THA,1963,29967043,20
Timor-Leste,TMP,1963,526936,10.785
Togo,TGO,1963,1631763,12.811
Tonga,TON,1963,69000,18.701
Trinidad and Tobago,TTO,1963,892571,15.493
Tunisia,TUN,1963,4436643,38.833
Turkey,TUR,1963,29597047,33.137
Turkmenistan,TKM,1963,1769008,46.848
Turks and Caicos Islands,TCA,1963,5741,48.706
Tuvalu,TUV,1963,6542,17.587
Uganda,UGA,1963,7487411,5.045
Ukraine,UKR,1963,44285897,49.046
United Arab Emirates,ARE,1963,125216,76.093
United Kingdom,GBR,1963,53650000,78.099
United States,USA,1963,189242000,71.134
Uruguay,URY,1963,2635128,80.899
Uzbekistan,UZB,1963,9611601,34.762
Vanuatu,VUT,1963,69962,10.95
"Venezuela, RB",VEN,1963,9130346,64.977
Vietnam,VNM,1963,36836000,15.714
Virgin Islands (U.S.),VIR,1963,38700,60.604
"Yemen, Rep.",YEM,1963,5429501,10.216
Zambia,ZMB,1963,3342894,20.712
Zimbabwe,ZWE,1963,4140804,13.578
Arab World,ARB,1964,103273929,34.35843171
Caribbean small states,CSS,1964,4514432,32.58061737
Central Europe and the Baltics,CEB,1964,94722599,47.20874298
East Asia & Pacific (all income levels),EAS,1964,1110558625,24.59519326
East Asia & Pacific (developing only),EAP,1964,952838633,18.81778022
Euro area,EMU,1964,275382199,64.1893356
Europe & Central Asia (all income levels),ECS,1964,698998988,57.57105308
Europe & Central Asia (developing only),ECA,1964,166977242,40.83749156
European Union,EUU,1964,424075860,63.10996878
Fragile and conflict affected situations,FCS,1964,132146798,20.00177797
Heavily indebted poor countries (HIPC),HPC,1964,178802599,13.71359851
High income,HIC,1964,956921525,64.97370884
High income: nonOECD,NOC,1964,198896794,59.56713769
High income: OECD,OEC,1964,758024731,66.30489764
Latin America & Caribbean (all income levels),LCN,1964,246458356,52.48199099
Latin America & Caribbean (developing only),LAC,1964,199754929,48.3138317
Least developed countries: UN classification,LDC,1964,265039360,10.70686898
Low & middle income,LMY,1964,2302381215,23.1245703
Low income,LIC,1964,171657780,12.66062592
Lower middle income,LMC,1964,1032387068,20.8515832
Middle East & North Africa (all income levels),MEA,1964,117734910,38.06153643
Middle East & North Africa (developing only),MNA,1964,108832515,36.78224805
Middle income,MIC,1964,2130723435,23.96799419
North America,NAC,1964,211262900,71.56938765
OECD members,OED,1964,831581967,64.48145627
Other small states,OSS,1964,7129954,16.41666899
Pacific island small states,PSS,1964,980370,23.80116438
Small states,SST,1964,12624756,22.77010533
South Asia,SAS,1964,623073110,17.43888393
Sub-Saharan Africa (all income levels),SSF,1964,251215851,15.92128615
Sub-Saharan Africa (developing only),SSA,1964,250904786,15.907249
